Close,High,Low,Open,Volume,target
94.99,95.4,94.46,95.39,27705210,0
95.53,95.66,94.37,94.6,30949090,0
95.94,96.5,95.62,95.7,25139558,0
96.68,96.89,96.05,96.49,28912103,0
96.98,97.65,96.73,96.75,23794945,0
97.42,97.7,97.12,97.17,24167463,0
96.87,97.67,96.84,97.41,25892171,0
98.79,98.99,97.32,97.39,38918997,0
98.78,99.3,98.5,98.92,30136990,0
99.83,100.13,98.6,98.7,36493867,0
99.87,100,99.34,99.56,23779924,0
99.96,100.46,99.735,100,26275968,0
99.43,101,99.13,99.83,32702028,0
98.66,99.3,98.31,99.26,28313669,0
97.34,98.84,96.92,98.25,40382921,0
96.67,97.97,96.42,96.82,56239822,1
102.95,104.35,102.75,104.265,92344820,1
104.34,104.45,102.82,102.83,39869839,0
104.21,104.55,103.68,104.19,27733688,0
106.05,106.15,104.41,104.41,38167871,0
104.48,106.07,104,106.05,33816556,0
105.79,105.84,104.77,104.81,30202641,0
105.87,106,105.28,105.58,27408650,0
107.48,107.65,106.18,106.27,40553402,0
108.37,108.37,107.16,107.52,28037220,0
108.81,108.94,108.01,108.23,26315204,0
108,108.9,107.76,108.71,24008505,0
107.93,108.93,107.85,108.52,27484506,0
108.18,108.44,107.78,107.78,18660434,0
109.48,109.54,108.08,108.14,25868209,0
109.38,110.23,109.21,109.63,33794448,0
109.22,109.37,108.34,109.1,25355976,0
109.08,109.6,109.02,109.23,21984703,0
109.36,109.69,108.36,108.77,25368072,0
108.51,109.1,107.85,108.86,25820230,0
108.85,109.32,108.53,108.59,21257669,0
108.03,108.75,107.68,108.565,23675081,0
107.57,107.88,106.68,107.39,25086248,0
106.94,107.95,106.31,107.41,27766291,0
106.82,107.44,106.29,106.62,24970300,0
106,106.5,105.5,105.8,24863945,0
106.1,106.5699,105.64,105.66,29662406,0
106.73,106.8,105.62,106.14,26701523,0
107.73,108,106.82,107.7,26802450,0
107.7,108.3,107.51,107.9,26880391,0
108.36,108.76,107.07,107.83,42364328,0
105.52,107.27,105.24,107.25,53002026,1
103.13,105.72,103.13,104.64,46556984,1
105.44,105.72,102.53,102.65,45292770,0
107.95,108.79,107.24,107.51,62176190,1
111.77,113.03,108.6,108.73,112340318,1
115.57,115.73,113.49,113.86,90613177,1
114.92,116.13,114.04,115.12,79886911,1
113.58,116.18,113.25,115.19,47023046,1
113.57,114.12,112.51,113.05,34514269,0
113.55,113.989,112.441,113.85,36003185,0
114.62,114.94,114,114.35,31073984,0
112.71,114.79,111.55,114.42,52481151,1
112.88,113.39,111.55,111.64,29869442,0
113.09,113.18,112.34,113,24607412,0
113.95,114.64,113.43,113.69,29641085,0
112.18,113.8,111.8,113.16,35886990,0
113.05,113.37,111.8,112.46,36379106,0
112.52,113.05,112.28,112.71,21701760,0
113,114.31,112.63,113.06,29736835,0
113.05,113.66,112.69,113.4,21453089,0
113.89,114.34,113.13,113.7,28779313,0
114.06,114.56,113.51,114.31,24358443,0
116.05,116.75,114.72,115.02,36235956,0
116.3,118.69,116.2,117.7,64041043,1
117.34,117.98,116.75,117.35,37586787,0
116.98,117.44,115.72,116.79,35192406,0
117.63,118.17,117.13,117.88,35652191,0
117.55,117.84,116.78,117.33,23624896,0
117.47,118.21,117.45,118.18,24553478,0
